accessor/identifier,accessor/identifierType,category,identifier,kind,timeStamp,type,outOfProcess,initiatedType,context,domain,contextVerificationType,domainType,firstTimeStamp,bundleID,domainOwner,hits,domainClassification
com.apple.mobileslideshow,bundleID,photos,6A941872-6E5A-4982-AA7F-CE67E43E0744,intervalBegin,2022-04-07T23:33:33.316+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,6A941872-6E5A-4982-AA7F-CE67E43E0744,intervalEnd,2022-04-07T23:33:35.238+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,36B9D017-B71F-4858-A951-6182F56D0B91,intervalBegin,2022-04-08T00:33:29.636+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,D9DD17AE-844D-4025-B270-064A5B4FDDEF,intervalBegin,2022-04-08T00:33:29.871+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,D9DD17AE-844D-4025-B270-064A5B4FDDEF,intervalEnd,2022-04-08T00:33:31.446+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,36B9D017-B71F-4858-A951-6182F56D0B91,intervalEnd,2022-04-08T00:39:12.779+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,6567EDB7-4A35-4206-8CE0-38FEF024479D,intervalBegin,2022-04-08T01:23:02.137+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,6567EDB7-4A35-4206-8CE0-38FEF024479D,intervalEnd,2022-04-08T01:23:04.098+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,camera,E2BD4E36-C4A8-4FFA-BD9C-2BE1F525774D,intervalBegin,2022-04-08T01:34:17.033+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,photos,E75D8673-852A-4AAE-BEF4-78CA82F4EA6F,intervalBegin,2022-04-08T01:34:17.234+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,location,F577E812-7F9C-4B72-B3DA-3FCCD88DD602,intervalBegin,2022-04-08T01:34:17.289+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,microphone,9F89934C-6C76-4C95-B619-147EA5D4FC77,intervalBegin,2022-04-08T01:34:17.571+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,camera,E2BD4E36-C4A8-4FFA-BD9C-2BE1F525774D,intervalEnd,2022-04-08T01:35:05.648+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,microphone,9F89934C-6C76-4C95-B619-147EA5D4FC77,intervalEnd,2022-04-08T01:35:05.652+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,photos,E75D8673-852A-4AAE-BEF4-78CA82F4EA6F,intervalEnd,2022-04-08T01:35:06.994+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,location,F577E812-7F9C-4B72-B3DA-3FCCD88DD602,intervalEnd,2022-04-08T01:35:15.692+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,photos,811AEBE2-17F1-4F1A-810F-E8B290103055,intervalBegin,2022-04-08T01:35:16.637+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,location,491327DE-8F34-4CF5-A5E9-65DBC5C5FE2A,intervalBegin,2022-04-08T01:35:16.729+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,photos,811AEBE2-17F1-4F1A-810F-E8B290103055,intervalEnd,2022-04-08T01:35:16.772+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,386ED26F-6DD1-4235-88F2-2A1DED303BC8,intervalBegin,2022-04-08T01:35:17.535+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,0551CA02-70E5-4EA2-91F9-6C4CFADD328A,intervalBegin,2022-04-08T01:35:18.725+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,photos,D9FF475E-D297-4E22-AFCB-449B02321102,intervalBegin,2022-04-08T01:35:18.825+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,photos,D9FF475E-D297-4E22-AFCB-449B02321102,intervalEnd,2022-04-08T01:35:18.952+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,BA3D74BC-CEEC-4DF4-A96E-7FEAF0FD4568,intervalBegin,2022-04-08T01:35:19.639+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,386ED26F-6DD1-4235-88F2-2A1DED303BC8,intervalEnd,2022-04-08T01:35:23.386+04:00,access,,,,,,,,,,,
com.apple.camera,bundleID,location,491327DE-8F34-4CF5-A5E9-65DBC5C5FE2A,intervalEnd,2022-04-08T01:35:26.751+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,0551CA02-70E5-4EA2-91F9-6C4CFADD328A,intervalEnd,2022-04-08T01:35:29.512+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,B6EB9E03-AFA9-43D2-8663-68355A1B7F57,intervalBegin,2022-04-08T01:42:18.595+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,B6EB9E03-AFA9-43D2-8663-68355A1B7F57,intervalEnd,2022-04-08T01:42:18.595+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,E77E3E06-0C0C-4A09-960B-858BDEC6FFA5,intervalBegin,2022-04-08T01:42:21.196+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,BA3D74BC-CEEC-4DF4-A96E-7FEAF0FD4568,intervalEnd,2022-04-08T01:42:21.750+04:00,access,,,,,,,,,,,
com.google.Maps,bundleID,location,A5FBE2C1-AC94-42B3-A9F4-45E1D816663A,intervalBegin,2022-04-08T01:42:22.665+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,E77E3E06-0C0C-4A09-960B-858BDEC6FFA5,intervalEnd,2022-04-08T01:42:22.921+04:00,access,,,,,,,,,,,
com.google.Maps,bundleID,location,A5FBE2C1-AC94-42B3-A9F4-45E1D816663A,intervalEnd,2022-04-08T01:42:32.799+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,82D488EE-06B6-46F2-8014-1A79938C8C07,intervalBegin,2022-04-08T01:44:00.066+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,9BA99FF2-01F5-4977-8B5F-AB2510C6604C,intervalBegin,2022-04-08T01:44:00.092+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,E23FF894-044B-4ADB-BF7D-89115805ECEA,intervalBegin,2022-04-08T01:44:40.526+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,82D488EE-06B6-46F2-8014-1A79938C8C07,intervalEnd,2022-04-08T01:44:41.194+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,E23FF894-044B-4ADB-BF7D-89115805ECEA,intervalEnd,2022-04-08T01:44:46.749+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,9BA99FF2-01F5-4977-8B5F-AB2510C6604C,intervalEnd,2022-04-08T01:45:02.447+04:00,access,,,,,,,,,,,
