ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,What word best describes this sound? ,On a scale from 1 to 5 how loud was this sound?,What kind of sound is this? ,Other - What kind of sound is this? ,On a scale from 1 to 5 how loud was this sound? (from most faint to loudest),Is there anything else we need to know about this sound? ,Are you outdoors or indoors? ,"What level are you on?  (0 = ground, 9= 9th floor or higher)",x,y
1,b67b9b07-2914-4ea4-b0f4-36c5e11eab6e,3/27/2022 7:45:15 AM,adsp22_as13966,3/27/2022 7:45:15 AM,adsp22_as13966,A/C,,Machine,,Faint 1,A/C sound in Unix Lab,,,54.4346186,24.5242089
2,a16ec83d-b6b9-4705-80cd-54078f411ed8,3/27/2022 7:50:08 AM,adsp22_as13966,3/27/2022 7:50:08 AM,adsp22_as13966,Students in front of Library,,Human,,2,"Sunday morning, very quiet",,,54.4343249,24.5241225
3,1f702c42-b33d-4858-8fa1-b5ffed98b7f7,3/27/2022 7:51:26 AM,adsp22_as13966,3/27/2022 7:51:26 AM,adsp22_as13966,Hydrologi  water dispenser,,Machine,,3,Processing water,,,54.4346687,24.5239247
4,6c7f72b2-aab6-4bff-99e1-89ec4ea6267c,3/27/2022 7:53:29 AM,adsp22_as13966,3/27/2022 7:53:29 AM,adsp22_as13966,Birds signing ,,Natural,,2,On top of the Arts Center,,,54.4350846,24.5235906
5,6d28813b-2808-4730-87a1-0d9cdb55db9a,3/27/2022 7:54:39 AM,adsp22_as13966,3/27/2022 7:54:39 AM,adsp22_as13966,Wind,,Natural,,2,Windy day in front of A5A,,,54.4347745,24.5233404
6,936431d2-684e-41e6-a20b-9d779bf6084a,3/27/2022 7:59:55 AM,adsp22_as13966,3/27/2022 7:59:55 AM,adsp22_as13966,People walking into D2,,Human,,2,People making sounds going down from stairs,,,54.4354832,24.5229531
7,938cdced-cae1-4f99-99de-b0d658ad6f6b,3/27/2022 8:00:59 AM,adsp22_as13966,3/27/2022 8:00:59 AM,adsp22_as13966,Water fountain,,other,Half natural half machine,3,,,,54.435336,24.5230332
8,5909c8a1-c923-4905-a9c9-97673f1c96a6,3/27/2022 8:04:19 AM,adsp22_as13966,3/27/2022 8:04:19 AM,adsp22_as13966,Table tennis,,other,Wood,4,Intensive game,,,54.4348106,24.5237388
9,d4c118c8-83e8-42fb-99ac-d970bfc35c34,3/28/2022 7:55:54 AM,adsp22_amd1139,3/28/2022 7:55:54 AM,adsp22_amd1139,Birds chirping ,,,,2,High line ,,,54.4330755430379,24.5241389897472
10,2410dadd-34ed-4a74-b876-11c8ea9f5162,3/28/2022 11:08:02 AM,adsp22_amd1139,3/28/2022 11:08:02 AM,adsp22_amd1139,Coach shouting ,,Human,,4,Football field ,,,54.4331663010296,24.5243523585509
11,c715a452-5782-491f-8e3f-db8abdf7bb03,3/28/2022 1:24:48 PM,adsp22_amd1139,3/28/2022 1:24:48 PM,adsp22_amd1139,Luggage cart ,,Human,,4,Palms,,,54.435036570702,24.5233546808794
12,10cd0f5f-6c45-4714-9a43-00be57494f5b,3/28/2022 3:31:39 PM,ADFA19_nks369,3/28/2022 3:31:39 PM,ADFA19_nks369,White noise from an engine far away ,,Machine,,2,Where exactly is it coming from?,,,54.43319115168,24.5243120138506
13,66f3f19e-ba9a-41bd-9b11-3bf4b8a7c4da,3/28/2022 3:37:09 PM,adsp22_amd1139,3/28/2022 3:37:09 PM,adsp22_amd1139,Elevator whirring,,Machine,,Faint 1,A2,,,54.435327119318,24.5229734180123
14,a7dcbc64-cd9b-4905-afc0-22b33c17e02d,3/28/2022 3:44:57 PM,adsp22_amd1139,3/28/2022 3:44:57 PM,adsp22_amd1139,Talking ,,Human,,3,Marketplace ,,,54.4337168714245,24.5244901582869
15,6ec5fc36-b510-42a6-94ab-b1fb52ac8e00,3/28/2022 6:11:08 PM,ADFA19_nks369,3/28/2022 6:11:08 PM,ADFA19_nks369,Gentle footsteps ,,Human,,Faint 1,"It is not constant, the sound depends on if someone is walking ",,,54.4344510101616,24.5244138196803
16,4fd70de0-88af-464f-96d5-79982eff7d1b,3/28/2022 6:43:21 PM,adsp22_amd1139,3/28/2022 6:43:21 PM,adsp22_amd1139,Neighbour’s music ,,Human,,3,A2C 7th floor ,,,54.4331275713391,24.5240953928167
